Distance/TTL         Address                Average round-trip time
1                    192.168.0.1            0.377 ms
2                    192.168.1.1            0.811 ms
3                    201.77.113.250         2.143 ms
4                    201.77.113.141         2.159 ms
5                    187.16.220.208         6.852 ms
6                    200.143.254.214        5.366 ms
7                    200.133.252.46         6.781 ms
8                    200.133.254.222        12.844 ms
9                    200.133.218.93         16.412 ms
10                   200.133.218.93         11.036 ms
